MoleculeName	
UniProt:P09917 ALOX5	
UniProt:Q96PD4 IL17F	
UniProt:P01137 TGFB1	
UniProt:P14780 MMP9	
UniProt:P09038 FGF2	
UniProt:P15692 VEGFA	
UniProt:Q9NPF7 IL23A	
UniProt:P0DJI8 SAA1	
UniProt:P08254 MMP3	
UniProt:P80188 LCN2	
UniProt:Q16552 IL17A	
UniProt:P08253 MMP2	
UniProt:P18428 LBP	
UniProt:P01189 POMC	
UniProt:P03956 MMP1	
UniProt:P35372 OPRM1	
UniProt:P41143 OPRD1	
UniProt:P02751 FN1	
UniProt:O15230 LAMA5	
UniProt:P08123 COL1A2	
UniProt:P00488 F13A1	
UniProt:P04083 ANXA1	
UniProt:O95760 IL33	
UniProt:Q01638 IL1RL1	
UniProt:Q01638-2 IL1RL1	
UniProt:Q9NPH3-1 IL1RAP	
UniProt:Q9NZH6 IL37	
UniProt:O95998 IL18BP	
UniProt:P29466 CASP1	
UniProt:Q9UHD2 TBK1	
UniProt:Q6IA17 SIGIRR	
UniProt:Q13478 IL18R1	
UniProt:P84022 SMAD3	
UniProt:Q05209 PTPN12	
UniProt:P43378 PTPN9	
UniProt:P54829 PTPN5	
UniProt:Q99952 PTPN18	
UniProt:P17706 PTPN2	
UniProt:Q4JDL3 PTPN20	
UniProt:P29074 PTPN4	
UniProt:Q9H3S7 PTPN23	
UniProt:P35236 PTPN7	
UniProt:Q12923 PTPN13	
UniProt:Q15678 PTPN14	
UniProt:Q9NZH7 IL36B	
UniProt:Q9UHA7 IL36A	
UniProt:Q9NZH8 IL36G	
UniProt:Q9HB29 IL1RL2	
UniProt:Q9UBH0 IL36RN	
UniProt:Q8WWZ1 IL1F10	
UniProt:P08311 CTSG	
UniProt:P19838 NFKB1	
UniProt:Q00653 NFKB2	
UniProt:Q04206 RELA	
UniProt:P41279 MAP3K8	
UniProt:Q8NFZ5 TNIP2	
UniProt:O15111 CHUK	
UniProt:O14920 IKBKB	
UniProt:Q9Y6K9 IKBKG	
UniProt:P0CG48 UBC	
UniProt:P0CG47 UBB	
UniProt:P62987 UBA52	
UniProt:P62979 RPS27A	
UniProt:P45985 MAP2K4	
UniProt:Q02750 MAP2K1	
UniProt:P63208 SKP1	
UniProt:Q13616 CUL1	
UniProt:Q9UKB1 FBXW11	
UniProt:Q9Y297 BTRC	
UniProt:Q9NWZ3 IRAK4	
UniProt:Q99836 MYD88	
UniProt:P25963 NFKBIA	
UniProt:Q9Y4K3 TRAF6	
UniProt:P51617 IRAK1	
UniProt:Q15750 TAB1	
UniProt:Q9NYJ8 TAB2	
UniProt:Q8N5C8 TAB3	
UniProt:O43318 MAP3K7	
UniProt:Q9HC29 NOD2	
UniProt:Q9Y239 NOD1	
UniProt:O43353 RIPK2	
UniProt:O43187 IRAK2	
UniProt:P61088 UBE2N	
UniProt:Q13404 UBE2V1	
UniProt:Q9H0E2 TOLLIP	
UniProt:Q8N2H9 PELI3	
UniProt:Q96FA3 PELI1	
UniProt:Q9HAT8 PELI2	
UniProt:Q9Y616 IRAK3	
UniProt:O43242 PSMD3	
UniProt:P60900 PSMA6	
UniProt:Q13200 PSMD2	
UniProt:P28066 PSMA5	
UniProt:Q9UNM6 PSMD13	
UniProt:P25789 PSMA4	
UniProt:O00232 PSMD12	
UniProt:P25788 PSMA3	
UniProt:O00231 PSMD11	
UniProt:P25787 PSMA2	
UniProt:P60896 SEM1	
UniProt:O75832 PSMD10	
UniProt:P25786 PSMA1	
UniProt:Q99460 PSMD1	
UniProt:O00487 PSMD14	
UniProt:P62333 PSMC6	
UniProt:P62195 PSMC5	
UniProt:P43686 PSMC4	
UniProt:P17980 PSMC3	
UniProt:P35998 PSMC2	
UniProt:P62191 PSMC1	
UniProt:P28065 PSMB9	
UniProt:P28062 PSMB8	
UniProt:A5LHX3 PSMB11	
UniProt:Q14997 PSME4	
UniProt:Q99436 PSMB7	
UniProt:P28072 PSMB6	
UniProt:Q8TAA3 PSMA8	
UniProt:Q92530 PSMF1	
UniProt:P61289 PSME3	
UniProt:P28074 PSMB5	
UniProt:Q9UL46 PSME2	
UniProt:P28070 PSMB4	
UniProt:Q06323 PSME1	
UniProt:O00233 PSMD9	
UniProt:P49720 PSMB3	
UniProt:P48556 PSMD8	
UniProt:P49721 PSMB2	
UniProt:P51665 PSMD7	
UniProt:Q15008 PSMD6	
UniProt:P40306 PSMB10	
UniProt:Q16401 PSMD5	
UniProt:P20618 PSMB1	
UniProt:P55036 PSMD4	
UniProt:O14818 PSMA7	
UniProt:P62877 RBX1	
UniProt:P05067 APP	
UniProt:P80511 S100A12	
UniProt:P04271 S100B	
UniProt:P09429 HMGB1	
UniProt:Q15109 AGER	
UniProt:Q15653 NFKBIB	
UniProt:Q9NYR9 NKIRAS2	
UniProt:Q9NYS0 NKIRAS1	
UniProt:P52564 MAP2K6	
UniProt:Q13501 SQSTM1	
UniProt:Q99759 MAP3K3	
UniProt:Q14116-2 IL18	
UniProt:O95256 IL18RAP	
UniProt:P45983 MAPK8	
UniProt:Q9NZN1 IL1RAPL1	
UniProt:P07333 CSF1R	
UniProt:Q6ZMJ4 IL34	
UniProt:P24158 PRTN3	
UniProt:P24001 IL32	
UniProt:P40222 TXLNA	
UniProt:Q13277 STX3	
UniProt:P23471 PTPRZ1	
UniProt:Q14005 IL16	
UniProt:Q12846 STX4	
UniProt:Q99062 CSF3R	
UniProt:P42574 CASP3	
UniProt:P01730 CD4	
UniProt:P18827 SDC1	
UniProt:Q16623 STX1A	
UniProt:P63027 VAMP2	
UniProt:P60880 SNAP25	
UniProt:Q15833 STXBP2	
UniProt:P07947 YES1	
UniProt:P08631 HCK	
UniProt:P07948 LYN	
UniProt:P06241 FYN	
